COMPANY;FUND;INVESTMENT MIN;INVESTMENT MAX;COUNTRY;ADDRESS;ZIP;CITY;STATE;PHONE;FAX;EMAIL;WEBSITE;STAGE;INDUSTRY PREFERENCES;INVESTOR TYPES;COMMENTS;MANAGEMENT TEAMNAME;PHONES;EMAILS
Elaia Partners;140000000;5000000;5000000;France;54, rue de Ponthieu;75008; Paris  ;; +33 1 76 74 92 50;;contact@elaia.com;http://www.elaia.com/en/;Early Stage,Later Stage,Seed;Business Services,IT Services,Software,Technology,Telecommunication;Venture Capital Firm;;;;
Times Internet Ltd.;10000000000;50000000;50000000;India;Ecstasy IT Park  Plot 391  Udyog Vihar;122016;Gurgaon;;;;yashmeen.barua@timesinternet.in;http://timesinternet.in/;Early Stage,Seed,StartUp;Internet,Software,Technology,Cellular (applications, devices and infrastructure) ;Venture Capital Firm;;;;
Coatue Management;1000000000;10000000;10000000;United States of America;9 West 57th Street  25th Floor;10019;New York, NY;New York;212-715-5100;;media@coatue.com;https://www.coatue.com/;Early Stage,Seed;Financial Services,Cellular (applications, devices and infrastructure) ,Advertising & Marketing;Venture Capital Firm;;;;
Mirae Asset Venture Investment;1000000000;50000000;50000000;South Korea ;B1, Mirae Asset Venture Tower Building  20, Pangyoyeok-ro 241 beon-gil  Bundang-gu;135-280;Seongnam;;031-780-1440;;;http://venture.miraeasset.com/eng/index.jsp;Early Stage,Later Stage;Biotechnology,Distribution,Education,Electronics,Energy & Natural Resources,Environment,Food & Ingredients,Healthcare,Internet,IT Services,Leisure Products and Services,Manufacturing,Medical Devices,Medical Services,Pharmaceuticals,Software,Technology,Telecommunication;Venture Capital Firm;;;;
Sequoia Capital China;1000000000;50000000;50000000;China/Honk Kong/Macau;77 Jianguo Road  Chaoyang District;;Beijing;;+86 10 8447 5668;;info@SequoiaCapitalChina;https://www.sequoiacap.com/china/en/people/;Early Stage,Later Stage,Seed,StartUp;Agriculture,Business Services,Education,Energy & Natural Resources,Industrial Products,Technology;Venture Capital Firm;;;;
Macquarie Capital;10000000000;50000000;50000000;United States of America;125 West 55th Street  22nd Floor;10019;New York, NY;New York; 212-231-1000;212-231-1010;mig@macquarie.com;https://www.macquarie.com/au/about/careers/groups/capital-markets/what-will-i-be-doing-maccap;Later Stage,Recapitalization;Financial Services,Industrial Services,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Real Estate, Construction & Infrastructure,Advertising & Marketing;Private Equity Firm;;;;
Wellington Management;10000000000;5000000;5000000;United States of America;280 Congress Street;02210;Boston;Texas; 617-951-5000;;;https://www.wellington.com/en/;Early Stage,Later Stage,Seed;Business Products,Business Services,Financial Services,Insurance,Government Services;Venture Capital Firm,Private Equity Firm;;;;
Wellington Management Zurich;10000000000;5000000;5000000;Switzerland;Limmatquai 92;8001;Zurich;; 617-951-5000;;;https://www.wellington.com/en/;Early Stage,Later Stage,Seed;Business Products,Business Services,Financial Services,Insurance,Government Services;Venture Capital Firm,Private Equity Firm;;;;
Wellington Management Luxembourg;10000000000;5000000;5000000;United Kingdom;Wellington Luxembourg S.à r.l. 33, avenue de la Liberté;;L-1931 Luxembourg;England;+352 28 48 27 001;;info@willingtonluxembourg;https://www.wellington.com/en/luxembourg/;Early Stage,Later Stage,Seed;Business Products,Business Services,Financial Services,Insurance,Government Services;Venture Capital Firm,Private Equity Firm;;;;
Wellington Management London;10000000000;5000000;5000000;United Kingdom;Cardinal Place 80 Victoria Street;SW1E 5JL;London;England;+44(0)20-7126-6000;;info@londonwellington.com;https://www.wellington.com/en/london/;Early Stage,Later Stage,Seed;Business Products,Business Services,Financial Services,Insurance,Government Services;Venture Capital Firm,Private Equity Firm;;;;
Structure Capital;50000000;2000000;2000000;United States of America;720 California Street;;San Francisco, CA ;California;;;info@structure.vc;https://structure.vc/;Early Stage,Seed,Series A;Technology;Venture Capital Firm;;;;
Goverment of Singapore Investment Corporation (GIC);100000000000;6000000;6000000;Singapore;168 Robinson Road  Suite 37-01  Capital Tower;;singapore;;65 6889 8888;;;https://www.gic.com.sg/;Expansion,StartUp;Financial Services,Insurance,Technology,Government Services;Venture Capital Firm;;;;
Trustbridge Partners;10000000000;10000000;10000000;China/Honk Kong/Macau;655 Haike Road  Zhangjiang High-Tech Park;;Shanghai;;;;info@trustbridgepartners.com;http://www.trustbridgepartners.com/;Management Buyout,Expansion,Recapitalization,Series A;Education,Communication & Computer Networks,Consumer Services,Energy & Natural Resources,Environment,Financial Services,Healthcare,Internet,Retail and wholesale,Software,Technology,Telecommunication,Cellular (applications, devices and infrastructure) ;Venture Capital Firm,Private Equity Firm;;;;
Daimler;50000000000;200000000;200000000;United Kingdom;Mercedesstrasse 137  Stuttgart;;Germany;England;49-711-17-0;;dialog@daimler.com;https://www.daimler.com/en/;Early Stage,Seed,Mezzanine;Financial Services,Manufacturing,Technology;Venture Capital Firm;;;;
Hillhouse Capital Group;10000000000;10000000;10000000;;;;;;;;;http://www.hillhousecap.com/;Early Stage,Later Stage,Management Buyout,Seed,Leveraged Buyout;Consumer Products,Consumer Services,Energy & Natural Resources,Healthcare,Internet,Manufacturing,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Retail and wholesale;Venture Capital Firm,Private Equity Firm;;;;
Greenoaks Capital Management;10000000000;5000000;5000000;United States of America;58 Greenoaks Drive Atherton, CA 94027;;;Alabama;;;webmaster@greenoakscap.com;http://www.greenoakscap.com/;Early Stage,Later Stage;Business Products,Business Services,Consumer Products,Consumer Services,Industrial Products,Manufacturing,Retail and wholesale;Venture Capital Firm;;;;
Frontier Capital;1000000000000;75000000;75000000;United States of America;525 North Tryon Street  Suite 1900;;;Alabama;704-414-2880;;info@frontiercapital.com;https://frontiercapital.com/;Early Stage,Later Stage,Management Buyout,Expansion,Leveraged Buyout;Financial Services,IT Services,Software,Technology,Telecommunication;Venture Capital Firm,Private Equity Firm;;;;
Greylock Partners;50000000000;50000000;50000000;United States of America;200 West Street;;New York, New York;Alabama;;;gs-investor-relations@gs.com;https://www.goldmansachs.com/;Recapitalization;Financial Services,Government Services;Venture Capital Firm;;;;
Naspers;1000000000000;10000000;10000000;;;;;;;;investorrelations@nasper;https://www.naspers.com/;Early Stage,Later Stage,StartUp;Internet,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Technology;Venture Capital Firm;;;;
LSV Capital Management, LLC.;1000000000000;10000000;10000000;United States of America;884 Sand Hill Road, Suite 121;;california;Alabama;650.388.3676;;;http://lightstonevc.com/;Early Stage,Seed;Biotechnology,Healthcare,Medical Services,Pharmaceuticals;Venture Capital Firm;;;;
Lightstone Capital Management Ireland, LTD.;1000000000000;8000000;8000000;Ireland;9 Pembroke Street, Dublin 2;;Dublin;;;;Director@Hill-Room;http://lightstonevc.com/;Early Stage,Seed;Financial Services,Healthcare,Medical Services,Pharmaceuticals;Venture Capital Firm;;;;
Shunwei Capital;10000000000;7000000;7000000;China/Honk Kong/Macau;Unit01-02, 14/F, Quanshitiandi Twr A, No 50 Jia Wangjing West;;Shanghai;;;;deals@shunwei.com;http://shunwei.com/resources/en/index.html;Early Stage,Later Stage,Seed;Financial Services,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Technology,Cellular (applications, devices and infrastructure) ;Venture Capital Firm;;;;
Signalfire Management Services LLC;1000000000;3000000;3000000;United States of America;333 Bryant Street Suite 190;;San Francisco California;Alabama;;;press@signalfire.com;https://www.signalfire.com/;Early Stage,Later Stage,Seed;Technology;Venture Capital Firm;;;;
Carrick Capital Partners;;;;United States of America;One California Street  Suite 1900; 94111;San Francisco, CA;California;415) 432-4100;;;https://www.carrickcapitalpartners.com/;Early Stage,Later Stage,Management Buyout,Leveraged Buyout;Financial Services,Healthcare,Software,Technology,Cellular (applications, devices and infrastructure) ;Venture Capital Firm,Private Equity Firm;;;;
Yunfeng Capital;200000000000;7000000;7000000;China/Honk Kong/Macau;Room 3501  35th floor  K. Wah Centre  No. 1010 Middle Huaihai Road;;Shanghai;;86 21 3127 0909;86 21 3127 1750;bp@yfc.cn;http://www.yfc.cn/en/;Early Stage,Later Stage;Consumer Products,Consumer Services,Financial Services,Healthcare,Internet,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Technology,Telecommunication;Private Equity Firm;;;;
Volition Capital;250000000;20000000;20000000;United States of America;177 Huntington Avenue  16th Floor;02115;Boston;Massachusetts; 617 830 2100;;info@volitioncapital.com;https://www.volitioncapital.com/;Later Stage;Financial Services,Healthcare,Internet,IT Services,Technology,Telecommunication,Cellular (applications, devices and infrastructure) ;Venture Capital Firm;;;;
Baillie Gifford & Co;24691831060000;80000000;80000000;United Kingdom;Calton Square  1 Greenside Row;;Edinburgh;England;44 13 1275 2000;44 13 1275 3999;help@bailliegifford.com;https://www.bailliegifford.com/;Early Stage,Later Stage,Seed;Financial Services;Venture Capital Firm,Private Equity Firm;;;;
Summit Partners;800000000;30000000;30000000;United States of America;222 Berkeley Street  18th Floor;;Boston;Alabama; 617-824-1000;617-824-1100;;https://www.summitpartners.com/;Early Stage,Later Stage,Seed;Business Services,Computer Services,Education,Electronics,Consumer Products,Consumer Services,Financial Services,Healthcare,IT Services,Life Sciences,Software,Technology,Cellular (applications, devices and infrastructure) ;Venture Capital Firm,Private Equity Firm;;;;
Green Park & Golf Ventures ;5000000;1000000;1000000;United States of America;5910 North Central Expressway  Suite 1400;75206;Dallas;Texas;;;info@gpgventures.com;https://www.gpgventures.com/;Seed,StartUp;Financial Services,Healthcare,Technology;Venture Capital Firm;;;;
Goldman Sachs;70000000000;50000000;50000000;United States of America;200 West Street;10282;New York;New York;;;gsinvestorrelations@gs.com;https://www.goldmansachs.com/;Early Stage,Later Stage,Seed;Financial Services;Venture Capital Firm,Private Equity Firm;;;;
Riverwood Capital;10000000000;125000000;125000000;United States of America;70 Willow Road  Suite 100;94025;Menlo Park;California;(212) 835-2490;;info@rwcm.com;https://www.riverwoodcapital.com/;Later Stage;Technology;Private Equity Firm;;;;
Riverwood Capital Brazil;10000000000;125000000;125000000;Brazil;Rua Dr. Renato Paes de Barros, 750, 17th Floor;;São Paulo, SP, Brazil;;+55 (11) 3054-2054;;;https://www.riverwoodcapital.com/;Later Stage;Technology;Private Equity Firm;;;;
Third Point Ventures;50000000000;40000000;40000000;United States of America;2180 Sand Hill Road  Suite 400;94025;Menlo Park;California;;;ir@thirdpoint.com;https://www.thirdpointventures.com/;Early Stage,Later Stage;Healthcare,Technology,Cellular (applications, devices and infrastructure) ;Venture Capital Firm;;;;
Lowercase Capital;10000000000;4000000;4000000;United States of America;;;New York, New York;Alabama;;;pitches@lowercasellc.com;https://lowercasecapital.com/;Early Stage,Later Stage,Seed;Financial Services;Venture Capital Firm;;;;
Vulcan Capital;400000000;5000000;5000000;United States of America;505 Fifth Avenue South  Suite 900;98104;Seattle;Washington;(206) 342-2000;;vulcancapital@vulcan.com;https://capital.vulcan.com/;Early Stage,Later Stage,Seed,StartUp;Education,Consumer Products,Consumer Services,Energy & Natural Resources,Food and Beverage (Including: Restaurant, coffee, Bakery, Bar, Buffer, Deli, Fast Food & Ice cream),Healthcare,Internet,IT Services,Life Sciences,Software,Technology,Telecommunication,Cellular (applications, devices and infrastructure) ;Venture Capital Firm,Private Equity Firm;;;;
IDG Capital Partners;10000000000;7000000;7000000;China/Honk Kong/Macau;6th Floor  Tower A  COFCO Plaza  8 JianGuoMenNei Avenue;;Beijing;;;;BP@IDGCAPITAL.COM;http://en.idgcapital.com/;Early Stage,Later Stage,Seed;Financial Services,Industrial Services,Internet,Manufacturing,Technology,Tourism & Hotels;Venture Capital Firm,Private Equity Firm;;;;
Chrysalis Ventures;175000000;15000000;15000000;United States of America;101 South Fifth Street  Suite 1650;;Louisville;Alabama;;;info@chrysalisventures.com;http://chrysalisventures.com/;Early Stage,Later Stage;Education,Consumer Services,Financial Services,Healthcare,Telecommunication;Venture Capital Firm,Business Lender;;;;
Felix Capital;10000000000;5000000;5000000;United Kingdom;27 Beak St;;London;England;;;info@felixcap.com;http://www.felixcap.com/;Early Stage,Later Stage,Seed,StartUp;Food & Ingredients,Food and Beverage (Including: Restaurant, coffee, Bakery, Bar, Buffer, Deli, Fast Food & Ice cream),Internet,Leisure Products and Services;Venture Capital Firm;;;;
Amplify Partners;400000000;1.5;1.5;United States of America;1050 Doyle Street;94025;Menlo Park;California;+1 (650) 445-0800;;info@amplifypartners.com;http://amplifypartners.com/;Early Stage,Later Stage,Seed,StartUp;Cleantech;Venture Capital Firm;;;;
Level Equity;1.5;5000000;5000000;United States of America;Two Grand Central Tower  140 East 45th Street  39th Floor;10017;New York;New York;;;support@email.com;http://www.levelequity.com/;Early Stage;Education,Consumer Products,Consumer Services,Internet,Software,Technology;Private Equity Firm;;;;
Liquid 2 Ventures;50000000;3000000;3000000;United States of America;301 Mission Street Unit 41C;94105;San Francisco;California;;;info@liquid2.vc;http://liquid2.vc/;Early Stage,Seed;Financial Services;Venture Capital Firm;;;;
BDC Capital Corporation;20000000000;4000000;4000000;United States of America;500 Edgewater Drive Suite 555;01880;Wakefield;Massachusetts;1-781-928-1100;1-781-928-1101;cbrennan@bdcnewengland.com;http://www.bdcnewengland.com/;Early Stage;Financial Services;Private Equity Firm;;;;
Forerunner Ventures;360000000;2000000;2000000;United States of America;1161 Mission Street  Suite 300;94103;San Francisco, CA;California;;;info@forerunnerventures.com;https://forerunnerventures.com/;Early Stage,Later Stage,Seed;Consumer Products,Consumer Services,Technology,Cellular (applications, devices and infrastructure) ;Venture Capital Firm;;;;
Gobi Partners;200000000;20000000;20000000;China/Honk Kong/Macau;Room 1508  Gefei Zhongxin  757 Mengzi Road  Huangpu District;;Shanghai;;+861084554115;;mail@gobivc.com;http://www.gobivc.com/;Early Stage,Later Stage,Seed;Education,Consumer Services,Financial Services,Technology,Cellular (applications, devices and infrastructure) ,Video Games;Venture Capital Firm;;;;
LetsVenture;200000000;4000000;4000000;India;;;;;;;sanjay@letsventure.com;https://letsventure.com/;Early Stage,Seed,StartUp;Business Services,Technology;Venture Capital Firm,Angel Investor;;;;
Precursor Ventures;10000000000;3000000;3000000;United States of America;665 3rd Street Suite 150;94107;San Francisco;California;1(650)249-0905;;hello@precursorvc.com;https://precursorvc.com/;;Computer Hardware,Education,Healthcare;;;;;
Partech Ventures;1.2;8000000;8000000;France;18 Avenue de Messine;75008;Paris france;;0033153656553;;media@partechventures.com;https://partechpartners.com/;Early Stage,Later Stage,Seed,Leveraged Buyout;Consumer Services,Energy & Natural Resources,Healthcare,Internet,IT Services,Software,Technology;Venture Capital Firm,Private Equity Firm;;;;
BoxGroup;50000000000;150000000;150000000;United States of America;;;New York;New York;;;hello@boxgroup.com;http://boxgroup.com/;Early Stage,Later Stage,Seed;;Venture Capital Firm;;;;
Contour Venture Partners;10000000000;1000000;1000000;United States of America;475 Park Avenue South  6th Floor;10016;New York City;New York;;;bob@contourventures.com;http://www.contourventures.com/;Early Stage,Later Stage,Seed;Financial Services,Healthcare,Internet,Software,Technology;Venture Capital Firm;;;;
Frontline Ventures;10000000000;4000000;4000000;Ireland;26-28 Lombard Street East;;Dublin;;;;info@frontline.vc;https://www.frontline.vc/;Early Stage,Seed;Financial Services,IT Services,Technology;Venture Capital Firm;;;;
Maven Capital Partners;10000000000;15000000;15000000;United Kingdom;Salvus House  Aykley Heads;;Durham;England;;;enquiries@mavencp.com;https://www.mavencp.com/;Early Stage,Later Stage,Management Buyout,Seed,Recapitalization;Electronics,Food & Ingredients,Insurance,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Real Estate, Construction & Infrastructure;Private Equity Firm;;;;
Initialized Capital;200000000000;7000000;7000000;United States of America;464 Tehama Street;94103;San Francisco;California;;;contact@initialized.com;https://initialized.com/;Early Stage,Seed;Technology,Cellular (applications, devices and infrastructure) ;Venture Capital Firm;;;;
